## Date
## emapper-2.1.12
## /path/to/emapper.py -m diamond --sensmode fast --itype proteins -i  path/to/selected_proteins.fasta -o path/to/output --data_dir ./egg-db/
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
17-2-10_NODE_53569_length_1286_cov_1.042184_2	74546.PMT9312_1393	4.5e-70	224.0	COG0134@1|root,COG0134@2|Bacteria,1G0PZ@1117|Cyanobacteria,1MKJY@1212|Prochloraceae	1117|Cyanobacteria	E	Belongs to the TrpC family	trpC	GO:0003674,GO:0003824,GO:0004425,GO:0016829,GO:0016830,GO:0016831	4.1.1.48	ko:K01609	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00023	R03508	RC00944	ko00000,ko00001,ko00002,ko01000	-	-	-	IGPS
17-2-10_NODE_53573_length_1285_cov_4.958609_1	335992.SAR11_1083	1.06e-52	183.0	COG0550@1|root,COG0550@2|Bacteria,1MUFZ@1224|Proteobacteria,2TRGN@28211|Alphaproteobacteria,4BPJJ@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	Topoisom_bac,Toprim,Toprim_C_rpt,zf-C4_Topoisom
17-2-10_NODE_53573_length_1285_cov_4.958609_2	1096769.Pelub83DRAFT_0072	1.93e-87	262.0	COG0344@1|root,COG0344@2|Bacteria,1RD4Z@1224|Proteobacteria,2U7BZ@28211|Alphaproteobacteria,4BQCC@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	I	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP	plsY	-	2.3.1.15	ko:K08591	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	G3P_acyltransf
17-2-10_NODE_53582_length_1285_cov_3.393212_1	243090.RB7481	5.43e-56	189.0	COG3119@1|root,COG3119@2|Bacteria,2IXIE@203682|Planctomycetes	203682|Planctomycetes	P	arylsulfatase A	-	-	3.1.6.8	ko:K01134	ko00600,ko04142,map00600,map04142	-	R04856	RC00231	ko00000,ko00001,ko01000	-	-	-	DUF4994,Sulfatase
17-2-10_NODE_53584_length_1285_cov_3.068709_1	626418.bglu_2p0730	1.8e-34	141.0	COG0657@1|root,COG2072@1|root,COG0657@2|Bacteria,COG2072@2|Bacteria,1MUQH@1224|Proteobacteria,2VHFH@28216|Betaproteobacteria,1KGMP@119060|Burkholderiaceae	28216|Betaproteobacteria	IP	Pfam:DUF2424	-	-	1.14.13.160,1.14.13.22,1.14.13.226	ko:K03379,ko:K18371,ko:K21730	ko00640,ko00930,ko01120,ko01220,map00640,map00930,map01120,map01220	-	R02231,R06622,R10704	RC00662,RC01550,RC03250	ko00000,ko00001,ko01000	-	-	-	Abhydrolase_3,FMO-like,Pyr_redox_3
17-2-10_NODE_53590_length_1285_cov_2.683775_1	744985.HIMB59_00003750	1.33e-226	640.0	COG4733@1|root,COG4733@2|Bacteria,1R18W@1224|Proteobacteria,2TYYN@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	-	-	-	-	-	-	-	-	-	-	-	-	VCBS
17-2-10_NODE_53594_length_1285_cov_2.659768_1	5465.ENH86021	1.26e-70	242.0	COG0002@1|root,COG0548@1|root,KOG2436@2759|Eukaryota,KOG4354@2759|Eukaryota,38FTK@33154|Opisthokonta,3NW51@4751|Fungi,3QK90@4890|Ascomycota,2117P@147550|Sordariomycetes,1ETZU@1028384|Glomerellales	4751|Fungi	E	belongs to the acetylglutamate kinase family	6	GO:0003674,GO:0003824,GO:0003942,GO:0003991,GO:0004042,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006355,GO:0006520,GO:0006525,GO:0006526,GO:0006591,GO:0006592,GO:0006793,GO:0006796,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0016053,GO:0016301,GO:0016310,GO:0016407,GO:0016410,GO:0016491,GO:0016597,GO:0016620,GO:0016740,GO:0016746,GO:0016747,GO:0016772,GO:0016774,GO:0016903,GO:0019219,GO:0019222,GO:0019752,GO:0031323,GO:0031326,GO:0031406,GO:0031974,GO:0034618,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0055114,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1903506,GO:2000112,GO:2001141	1.2.1.38,2.7.2.8	ko:K12659	ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230	M00028	R02649,R03443	RC00002,RC00043,RC00684	ko00000,ko00001,ko00002,ko01000	-	-	iMM904.YER069W,iND750.YER069W	AA_kinase,NAT,Semialdhyde_dh,Semialdhyde_dhC
17-2-10_NODE_53602_length_1285_cov_2.353477_2	335992.SAR11_0358	3e-66	207.0	2C2J5@1|root,315UG@2|Bacteria,1RHAH@1224|Proteobacteria,2U94W@28211|Alphaproteobacteria,4BQXT@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	S	Domain of unknown function (DUF3576)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3576
17-2-10_NODE_53604_length_1285_cov_2.297185_1	1144932.ATTF01000033_gene1	8.53e-249	708.0	COG0060@1|root,COG0060@2|Bacteria,1MVBQ@1224|Proteobacteria,2TR3N@28211|Alphaproteobacteria,4BP8X@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)	ileS	-	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1,zf-FPG_IleRS
17-2-10_NODE_56693_length_1244_cov_2.443873_1	746697.Aeqsu_2016	1.65e-47	181.0	COG1361@1|root,COG2911@1|root,COG3209@1|root,COG1361@2|Bacteria,COG2911@2|Bacteria,COG3209@2|Bacteria,4PKBQ@976|Bacteroidetes,1IN12@117743|Flavobacteriia	976|Bacteroidetes	M	C-terminal domain of CHU protein family	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11,SprB
17-2-10_NODE_56698_length_1244_cov_2.240788_1	1250232.JQNJ01000001_gene3490	2.81e-144	420.0	COG0065@1|root,COG0065@2|Bacteria,4NG7E@976|Bacteroidetes,1HWPT@117743|Flavobacteriia	976|Bacteroidetes	E	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate	leuC	-	4.2.1.33,4.2.1.35	ko:K01703	ko00290,ko00660,ko00966,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map00966,map01100,map01110,map01210,map01230	M00432,M00535	R03896,R03898,R03968,R04001,R08620,R08624,R08628,R08634,R08641,R08645,R10170	RC00497,RC00976,RC00977,RC01041,RC01046,RC03072	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase
17-2-10_NODE_56699_length_1244_cov_2.236504_1	1121007.AUML01000001_gene1451	3.01e-123	370.0	COG0773@1|root,COG0773@2|Bacteria,4NE1V@976|Bacteroidetes,1HX68@117743|Flavobacteriia,2YIWD@290174|Aquimarina	976|Bacteroidetes	M	Mur ligase family, catalytic domain	murC	-	6.3.2.8	ko:K01924	ko00471,ko00550,ko01100,map00471,map00550,map01100	-	R03193	RC00064,RC00141	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase,Mur_ligase_C,Mur_ligase_M
17-2-10_NODE_56702_length_1244_cov_2.215938_2	319003.Bra1253DRAFT_03710	1.49e-46	166.0	COG0847@1|root,COG0847@2|Bacteria,1MXM2@1224|Proteobacteria,2TUYC@28211|Alphaproteobacteria,3JU5D@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Exonuclease	-	-	2.7.7.7	ko:K02342	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	RNase_T
17-2-10_NODE_56706_length_1244_cov_2.122536_1	466038.KI421440_gene943	6.77e-166	469.0	COG0034@1|root,COG0034@2|Bacteria,1MWHP@1224|Proteobacteria,2U06H@28211|Alphaproteobacteria,4BRD7@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	F	Glutamine amidotransferase domain	glxB	-	2.1.1.21	ko:K22081	ko00680,ko01120,map00680,map01120	-	R01586	RC00554	ko00000,ko00001,ko01000	-	-	-	GATase_6
17-2-10_NODE_56708_length_1244_cov_2.085690_1	270374.MELB17_07049	5.43e-24	109.0	COG0815@1|root,COG0815@2|Bacteria,1MUBU@1224|Proteobacteria,1RM8M@1236|Gammaproteobacteria,46473@72275|Alteromonadaceae	1236|Gammaproteobacteria	M	Transfers the fatty acyl group on membrane lipoproteins	lnt	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016021,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0031224,GO:0031226,GO:0034645,GO:0036211,GO:0042157,GO:0042158,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576	-	ko:K03820	-	-	-	-	ko00000,ko01000	-	GT2	iEcSMS35_1347.EcSMS35_0678,iSbBS512_1146.SbBS512_E0590	CN_hydrolase
17-2-10_NODE_56711_length_1244_cov_2.056555_1	1229909.NSED_02995	1.33e-100	308.0	COG1914@1|root,arCOG04531@2157|Archaea	2157|Archaea	P	COG1914 Mn2 and Fe2 transporters of the NRAMP family	-	-	-	-	-	-	-	-	-	-	-	-	5TM-5TMR_LYT,Nramp
17-2-10_NODE_56713_length_1244_cov_2.038560_1	313590.MED134_09936	0.000287	51.6	COG1404@1|root,COG4935@1|root,COG1404@2|Bacteria,COG4935@2|Bacteria,4NQIZ@976|Bacteroidetes,1IJKK@117743|Flavobacteriia	976|Bacteroidetes	O	Belongs to the peptidase S8 family	-	-	-	-	-	-	-	-	-	-	-	-	-
17-2-10_NODE_56719_length_1244_cov_1.923736_1	935557.ATYB01000014_gene3618	2.38e-109	333.0	COG0165@1|root,COG0165@2|Bacteria,1MUTU@1224|Proteobacteria,2TR4H@28211|Alphaproteobacteria,4B9ES@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	argininosuccinate lyase	argH	GO:0003674,GO:0003824,GO:0004056,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006591,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016829,GO:0016840,GO:0016842,GO:0019752,GO:0042450,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	4.3.2.1	ko:K01755	ko00220,ko00250,ko01100,ko01110,ko01130,ko01230,map00220,map00250,map01100,map01110,map01130,map01230	M00029,M00844,M00845	R01086	RC00445,RC00447	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	ASL_C2,Lyase_1
17-2-10_NODE_56724_length_1244_cov_1.803770_2	566466.NOR53_2515	3.6e-88	270.0	COG0500@1|root,COG2226@2|Bacteria,1MV4M@1224|Proteobacteria,1RMWY@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	Catalyzes the conversion of S-adenosyl-L-methionine (SAM) to carboxy-S-adenosyl-L-methionine (Cx-SAM)	cmoA	GO:0002097,GO:0002098,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360	-	ko:K15256	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Methyltransf_25
17-2-10_NODE_56728_length_1244_cov_1.764353_3	80884.CCF44216	9.62e-09	55.5	COG0519@1|root,KOG1622@2759|Eukaryota,38DHS@33154|Opisthokonta,3NUUQ@4751|Fungi,3QPZ0@4890|Ascomycota,213W8@147550|Sordariomycetes,1EUZZ@1028384|Glomerellales	4751|Fungi	F	GMP synthase	-	GO:0003674,GO:0003824,GO:0003921,GO:0003922,GO:0006139,GO:0006163,GO:0006164,GO:0006177,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0016884,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042278,GO:0042451,GO:0042455,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046037,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	6.3.5.2	ko:K01951	ko00230,ko00983,ko01100,map00230,map00983,map01100	M00050	R01230,R01231,R08244	RC00010,RC00204	ko00000,ko00001,ko00002,ko01000,ko01002	-	-	-	GATase,GMP_synt_C,NAD_synthase
17-2-10_NODE_56734_length_1244_cov_1.685518_2	391626.OAN307_c29930	1.05e-56	186.0	COG2063@1|root,COG2063@2|Bacteria,1RDEY@1224|Proteobacteria,2TRHN@28211|Alphaproteobacteria	28211|Alphaproteobacteria	N	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation	flgH	-	-	ko:K02393	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	FlgH
17-2-10_NODE_56738_length_1244_cov_1.622108_3	314292.VAS14_10089	2.28e-38	132.0	COG3791@1|root,COG3791@2|Bacteria,1RHWZ@1224|Proteobacteria,1S4HQ@1236|Gammaproteobacteria,1XXI2@135623|Vibrionales	135623|Vibrionales	S	Glutathione-dependent formaldehyde-activating enzyme	-	-	-	-	-	-	-	-	-	-	-	-	GFA
17-2-10_NODE_56740_length_1244_cov_1.596401_2	1461693.ATO10_01140	2.57e-76	236.0	COG4126@1|root,COG4126@2|Bacteria,1MVNB@1224|Proteobacteria,2U28G@28211|Alphaproteobacteria	28211|Alphaproteobacteria	E	Hydantoin racemase	MA20_32210	-	5.1.99.3	ko:K16841	ko00230,ko01120,map00230,map01120	-	R03925	RC01027	ko00000,ko00001,ko01000	-	-	-	Asp_Glu_race
17-2-10_NODE_56741_length_1244_cov_1.582691_2	1400525.JNIU01000001_gene1074	2.25e-136	392.0	COG1192@1|root,COG1192@2|Bacteria,1MV43@1224|Proteobacteria,2TSWH@28211|Alphaproteobacteria,4BPR9@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	D	PFAM CobQ CobB MinD ParA nucleotide binding domain	parA	-	-	ko:K03496	-	-	-	-	ko00000,ko03036,ko04812	-	-	-	AAA_31
17-2-10_NODE_56743_length_1244_cov_1.573265_2	488538.SAR116_1251	1.63e-74	231.0	COG0283@1|root,COG0283@2|Bacteria,1MUUD@1224|Proteobacteria,2U71H@28211|Alphaproteobacteria,4BQBA@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	F	Cytidylate kinase	cmk	GO:0003674,GO:0003824,GO:0004127,GO:0004592,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006573,GO:0006575,GO:0006725,GO:0006732,GO:0006753,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009081,GO:0009108,GO:0009110,GO:0009117,GO:0009123,GO:0009165,GO:0009987,GO:0015939,GO:0015940,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019752,GO:0032787,GO:0033317,GO:0034641,GO:0034654,GO:0042364,GO:0042398,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046939,GO:0046940,GO:0050145,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	2.7.4.25	ko:K00945	ko00240,ko01100,map00240,map01100	M00052	R00158,R00512,R01665	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	Cytidylate_kin
17-2-10_NODE_56745_length_1244_cov_1.551842_1	1218075.BAYA01000004_gene1530	1.1e-99	304.0	COG2520@1|root,COG2520@2|Bacteria	2|Bacteria	J	tRNA (guanine(37)-N(1))-methyltransferase activity	XK27_03530	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_21,rRNA_methylase
17-2-10_NODE_60805_length_1194_cov_1.658908_2	488538.SAR116_2131	8.29e-68	221.0	2DNQW@1|root,32YMP@2|Bacteria,1N51I@1224|Proteobacteria,2VG79@28211|Alphaproteobacteria,4BSC2@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	C	Catalyzes the cleavage of beta-carotene at its central double bond (15,15') to yield two molecules of all-trans-retinal	-	-	1.13.11.63	ko:K21817	-	-	-	-	ko00000,ko01000	-	-	-	BCD
17-2-10_NODE_60806_length_1194_cov_1.655327_1	909943.HIMB100_00022580	3.83e-92	286.0	COG2271@1|root,COG2271@2|Bacteria,1MVV4@1224|Proteobacteria,2TS66@28211|Alphaproteobacteria,4BRWA@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	G	Major facilitator superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
17-2-10_NODE_60810_length_1194_cov_1.601611_1	755732.Fluta_0787	8.91e-07	60.1	COG1357@1|root,COG2374@1|root,COG2706@1|root,COG1357@2|Bacteria,COG2374@2|Bacteria,COG2706@2|Bacteria,4PMMT@976|Bacteroidetes,1IJV8@117743|Flavobacteriia	976|Bacteroidetes	G	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	-	-	-	-	-	-	-	-	-	-	-	-	VCBS
17-2-10_NODE_60812_length_1194_cov_1.592659_1	1353537.TP2_02635	1.02e-85	266.0	COG0613@1|root,COG0613@2|Bacteria,1PBDI@1224|Proteobacteria,2U1HY@28211|Alphaproteobacteria,2XN4D@285107|Thioclava	28211|Alphaproteobacteria	S	DNA polymerase alpha chain like domain	-	-	-	-	-	-	-	-	-	-	-	-	-
17-2-10_NODE_60813_length_1194_cov_1.568487_1	755732.Fluta_4076	5.31e-115	351.0	COG0187@1|root,COG0187@2|Bacteria,4NF18@976|Bacteroidetes,1HWNY@117743|Flavobacteriia,2PAF4@246874|Cryomorphaceae	976|Bacteroidetes	L	Type IIA topoisomerase (DNA gyrase topo II topoisomerase IV) B subunit	parE	-	-	ko:K02622	-	-	-	-	ko00000,ko01000,ko02048,ko03032,ko03036	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
17-2-10_NODE_60815_length_1194_cov_1.515667_2	86106.I862_02565	9.6e-71	221.0	COG0349@1|root,COG0349@2|Bacteria,1MWFD@1224|Proteobacteria,2TQXS@28211|Alphaproteobacteria,47F9F@766|Rickettsiales	766|Rickettsiales	L	hmm pf01612	-	-	3.1.13.5	ko:K03684	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	DNA_pol_A_exo1
17-2-10_NODE_60820_length_1194_cov_1.440466_2	488538.SAR116_2242	1.43e-59	191.0	COG0431@1|root,COG0431@2|Bacteria,1RH7F@1224|Proteobacteria,2TUD4@28211|Alphaproteobacteria,4BSTC@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	S	NADPH-dependent FMN reductase	MA20_24580	-	-	-	-	-	-	-	-	-	-	-	FMN_red
17-2-10_NODE_60821_length_1194_cov_1.438675_2	487796.Flav2ADRAFT_0270	1.66e-30	113.0	COG3093@1|root,COG3093@2|Bacteria,4NSDG@976|Bacteroidetes,1I3X0@117743|Flavobacteriia	976|Bacteroidetes	K	helix-turn-helix domain protein	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,Phage_CI_repr
17-2-10_NODE_60823_length_1194_cov_1.404655_2	859653.HIMB5_00003010	6.67e-41	145.0	COG0299@1|root,COG0299@2|Bacteria,1MWN1@1224|Proteobacteria,2TRY6@28211|Alphaproteobacteria,4BQ3T@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	F	Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate	purN	GO:0003674,GO:0003824,GO:0004644,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006974,GO:0008150,GO:0009987,GO:0016740,GO:0016741,GO:0016742,GO:0033554,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716	2.1.2.2	ko:K11175	ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130	M00048	R04325,R04326	RC00026,RC00197,RC01128	ko00000,ko00001,ko00002,ko01000	-	-	-	Formyl_trans_N,YjbR
17-2-10_NODE_60824_length_1194_cov_1.353626_1	488538.SAR116_0825	2.5e-134	389.0	COG1868@1|root,COG1868@2|Bacteria,1MX01@1224|Proteobacteria,2VECK@28211|Alphaproteobacteria,4BRID@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	N	Flagellar motor switch protein FliM	-	-	-	ko:K02416	ko02030,ko02040,map02030,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	FliM,FliMN_C
17-2-10_NODE_60825_length_1194_cov_1.338406_2	65093.PCC7418_1590	5.22e-55	193.0	COG0337@1|root,COG0337@2|Bacteria,1G0Q7@1117|Cyanobacteria	1117|Cyanobacteria	E	PFAM 3-dehydroquinate synthase	-	-	4.2.3.152,4.2.3.154,4.2.3.4	ko:K01735,ko:K19969,ko:K21342	ko00400,ko00525,ko01100,ko01110,ko01130,ko01230,map00400,map00525,map01100,map01110,map01130,map01230	M00022,M00814,M00815	R03083,R10937	RC00847,RC03308	ko00000,ko00001,ko00002,ko01000	-	-	-	DHQ_synthase
17-2-10_NODE_60827_length_1194_cov_1.135184_2	349521.HCH_04792	1.43e-35	142.0	COG2273@1|root,COG2273@2|Bacteria,1NFHX@1224|Proteobacteria,1RRPK@1236|Gammaproteobacteria,1XPQU@135619|Oceanospirillales	135619|Oceanospirillales	G	Glycosyl hydrolases family 16	-	-	-	-	-	-	-	-	-	-	-	-	CBM_6,Glyco_hydro_16
17-2-10_NODE_60831_length_1193_cov_11.105735_2	95619.PM1_0205700	5.03e-68	221.0	COG4105@1|root,COG4105@2|Bacteria,1MVS5@1224|Proteobacteria,1RSE6@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane	bamD	GO:0005575,GO:0005623,GO:0008104,GO:0008150,GO:0009279,GO:0009987,GO:0016020,GO:0016043,GO:0019867,GO:0022607,GO:0030312,GO:0030313,GO:0031224,GO:0031230,GO:0031241,GO:0031246,GO:0031975,GO:0032991,GO:0033036,GO:0034613,GO:0043163,GO:0043165,GO:0044085,GO:0044091,GO:0044425,GO:0044462,GO:0044464,GO:0045184,GO:0045229,GO:0051179,GO:0051205,GO:0051234,GO:0051641,GO:0061024,GO:0070727,GO:0071709,GO:0071840,GO:0071944,GO:0072657,GO:0090150,GO:0098552,GO:0098796,GO:1990063	-	ko:K05807	-	-	-	-	ko00000,ko02000	1.B.33.1	-	-	YfiO
17-2-10_NODE_60832_length_1193_cov_9.004480_1	859653.HIMB5_00009780	3.12e-169	473.0	COG3473@1|root,COG3473@2|Bacteria,1N3F7@1224|Proteobacteria,2VG49@28211|Alphaproteobacteria,4BQMM@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	Q	Asp/Glu/Hydantoin racemase	-	-	5.2.1.1	ko:K01799	ko00650,ko00760,ko01120,map00650,map00760,map01120	M00622	R01087	RC00448	ko00000,ko00001,ko00002,ko01000	-	-	-	Asp_Glu_race
17-2-10_NODE_60840_length_1193_cov_4.597670_1	93057.EU95_0474	2.31e-283	786.0	COG1523@1|root,COG1523@2|Bacteria,1G0PW@1117|Cyanobacteria,1MKED@1212|Prochloraceae	1117|Cyanobacteria	G	Belongs to the glycosyl hydrolase 13 family	glgX	-	3.2.1.68	ko:K01214	ko00500,ko01100,ko01110,map00500,map01100,map01110	M00565	R09995,R11261	-	ko00000,ko00001,ko00002,ko01000	-	CBM48,GH13	-	Alpha-amylase,CBM_48
